赛事名称,赛事阶段,赛事日期,主队,主队进球,客队进球,客队,比分(m比n),点球大战比分(如有),相关链接,主-客,单场进球数
S1杯赛,S1杯赛1/4决赛首回合,2024.10.18,崩坏3：天命,3,4,原神·蒙德,3比4,,DAY1,-1,7
S1杯赛,S1杯赛1/4决赛首回合,2024.10.18,原神·枫丹,1,5,星穹铁道,1比5,,DAY1,-4,6
S1杯赛,S1杯赛1/4决赛首回合,2024.10.18,原神·璃月,3,5,绝区零·艾城,3比5,,DAY1,-2,8
S1杯赛,S1杯赛1/4决赛首回合,2024.10.18,原神·稻妻,1,2,原神·须弥,1比2,,DAY1,-1,3
S1杯赛,S1杯赛1/4决赛次回合,2024.10.18,原神·蒙德,2,4,崩坏3：天命,2比4,,DAY1,-2,6
S1杯赛,S1杯赛1/4决赛次回合,2024.10.18,星穹铁道,8,6,原神·枫丹,8比6,,DAY1,2,14
S1杯赛,S1杯赛1/4决赛次回合,2024.10.18,绝区零·艾城,6,5,原神·璃月,6比5,,DAY1,1,11
S1杯赛,S1杯赛1/4决赛次回合,2024.10.18,原神·须弥,5,3,原神·稻妻,5比3,,DAY1,2,8
S1杯赛,S1杯赛半决赛首回合,2024.10.19,崩坏3：天命,6,2,星穹铁道,6比2,,DAY2,4,8
S1杯赛,S1杯赛半决赛首回合,2024.10.19,绝区零·艾城,0,4,原神·须弥,0比4,,DAY2,-4,4
S1杯赛,S1杯赛半决赛次回合,2024.10.19,星穹铁道,4,4,崩坏3：天命,4比4,,DAY2,0,8
S1杯赛,S1杯赛半决赛次回合,2024.10.19,原神·须弥,5,7,绝区零·艾城,5比7,,DAY2,-2,12
S1杯赛,S1杯赛三四名决赛,2024.10.19,星穹铁道,3,2,绝区零·艾城,3比2,,DAY2,1,5
S1杯赛,S1杯赛决赛,2024.10.19,崩坏3：天命,4,3,原神·须弥,4比3,,DAY2,1,7
S1联赛,S1联赛第1轮,2024.10.20,星穹铁道,4,1,原神·枫丹,4比1,,暂无相关动态,3,5
S1联赛,S1联赛第1轮,2024.10.20,绝区零·艾城,2,3,崩坏3：天命,2比3,,暂无相关动态,-1,5
S1联赛,S1联赛第1轮,2024.10.20,原神·蒙德,4,2,原神·稻妻,4比2,,暂无相关动态,2,6
S1联赛,S1联赛第1轮,2024.10.20,原神·璃月,7,4,原神·须弥,7比4,,暂无相关动态,3,11
S1联赛,S1联赛第2轮,2024.10.20,崩坏3：天命,2,5,星穹铁道,2比5,,暂无相关动态,-3,7
S1联赛,S1联赛第2轮,2024.10.20,原神·枫丹,3,3,原神·璃月,3比3,,暂无相关动态,0,6
S1联赛,S1联赛第2轮,2024.10.20,原神·稻妻,2,3,绝区零·艾城,2比3,,暂无相关动态,-1,5
S1联赛,S1联赛第2轮,2024.10.20,原神·须弥,2,4,原神·蒙德,2比4,,暂无相关动态,-2,6
S1联赛,S1联赛第3轮,2024.10.21,星穹铁道,3,1,原神·稻妻,3比1,,DAY2,2,4
S1联赛,S1联赛第3轮,2024.10.21,原神·枫丹,2,3,崩坏3：天命,2比3,,DAY2,-1,5
S1联赛,S1联赛第3轮,2024.10.21,绝区零·艾城,3,1,原神·须弥,3比1,,DAY2,2,4
S1联赛,S1联赛第3轮,2024.10.21,原神·璃月,3,1,原神·蒙德,3比1,,DAY2,2,4
S1联赛,S1联赛第4轮,2024.10.21,原神·须弥,1,1,星穹铁道,1比1,,DAY2,0,2
S1联赛,S1联赛第4轮,2024.10.21,原神·稻妻,3,2,原神·枫丹,3比2,,DAY2,1,5
S1联赛,S1联赛第4轮,2024.10.21,崩坏3：天命,2,2,原神·璃月,2比2,,DAY2,0,4
S1联赛,S1联赛第4轮,2024.10.21,原神·蒙德,4,2,绝区零·艾城,4比2,,DAY2,2,6
S1联赛,S1联赛第5轮,2024.10.22,星穹铁道,2,4,原神·蒙德,2比4,,DAY3,-2,6
S1联赛,S1联赛第5轮,2024.10.22,原神·枫丹,3,3,原神·须弥,3比3,,DAY3,0,6
S1联赛,S1联赛第5轮,2024.10.22,崩坏3：天命,4,6,原神·稻妻,4比6,,DAY3,-2,10
S1联赛,S1联赛第5轮,2024.10.22,原神·璃月,3,3,绝区零·艾城,3比3,,DAY3,0,6
S1联赛,S1联赛第6轮,2024.10.22,绝区零·艾城,2,2,星穹铁道,2比2,,DAY3,0,4
S1联赛,S1联赛第6轮,2024.10.22,原神·蒙德,2,1,原神·枫丹,2比1,,DAY3,1,3
S1联赛,S1联赛第6轮,2024.10.22,原神·须弥,3,6,崩坏3：天命,3比6,,DAY3,-3,9
S1联赛,S1联赛第6轮,2024.10.22,原神·稻妻,5,4,原神·璃月,5比4,,DAY3,1,9
S1联赛,S1联赛第7轮,2024.10.23,原神·璃月,1,2,星穹铁道,1比2,,DAY4,-1,3
S1联赛,S1联赛第7轮,2024.10.23,原神·枫丹,1,1,绝区零·艾城,1比1,,DAY4,0,2
S1联赛,S1联赛第7轮,2024.10.23,崩坏3：天命,1,3,原神·蒙德,1比3,,DAY4,-2,4
S1联赛,S1联赛第7轮,2024.10.23,原神·稻妻,3,5,原神·须弥,3比5,,DAY4,-2,8
S1联赛,S1联赛第8轮,2024.10.23,原神·枫丹,0,3,星穹铁道,0比3,,DAY4,-3,3
S1联赛,S1联赛第8轮,2024.10.23,崩坏3：天命,3,5,绝区零·艾城,3比5,,DAY4,-2,8
S1联赛,S1联赛第8轮,2024.10.23,原神·稻妻,2,1,原神·蒙德,2比1,,DAY4,1,3
S1联赛,S1联赛第8轮,2024.10.23,原神·须弥,4,2,原神·璃月,4比2,,DAY4,2,6
S1联赛,S1联赛第9轮,2024.10.24,星穹铁道,1,5,崩坏3：天命,1比5,,DAY5,-4,6
S1联赛,S1联赛第9轮,2024.10.24,原神·璃月,4,3,原神·枫丹,4比3,,DAY5,1,7
S1联赛,S1联赛第9轮,2024.10.24,绝区零·艾城,2,0,原神·稻妻,2比0,,DAY5,2,2
S1联赛,S1联赛第9轮,2024.10.24,原神·蒙德,4,3,原神·须弥,4比3,,DAY5,1,7
S1联赛,S1联赛第10轮,2024.10.24,原神·稻妻,4,6,星穹铁道,4比6,,DAY5,-2,10
S1联赛,S1联赛第10轮,2024.10.24,崩坏3：天命,2,1,原神·枫丹,2比1,,DAY5,1,3
S1联赛,S1联赛第10轮,2024.10.24,原神·须弥,3,2,绝区零·艾城,3比2,,DAY5,1,5
S1联赛,S1联赛第10轮,2024.10.24,原神·蒙德,2,3,原神·璃月,2比3,,DAY5,-1,5
S1联赛,S1联赛第11轮,2024.10.25,星穹铁道,2,4,原神·须弥,2比4,,DAY6,-2,6
S1联赛,S1联赛第11轮,2024.10.25,原神·枫丹,4,4,原神·稻妻,4比4,,DAY6,0,8
S1联赛,S1联赛第11轮,2024.10.25,原神·璃月,2,7,崩坏3：天命,2比7,,DAY6,-5,9
S1联赛,S1联赛第11轮,2024.10.25,绝区零·艾城,1,1,原神·蒙德,1比1,,DAY6,0,2
S1联赛,S1联赛第12轮,2024.10.25,原神·蒙德,2,4,星穹铁道,2比4,,DAY6,-2,6
S1联赛,S1联赛第12轮,2024.10.25,原神·须弥,3,2,原神·枫丹,3比2,,DAY6,1,5
S1联赛,S1联赛第12轮,2024.10.25,原神·稻妻,4,5,崩坏3：天命,4比5,,DAY6,-1,9
S1联赛,S1联赛第12轮,2024.10.25,绝区零·艾城,2,4,原神·璃月,2比4,,DAY6,-2,6
S1联赛,S1联赛第13轮,2024.10.26,星穹铁道,5,2,绝区零·艾城,5比2,,DAY7,3,7
S1联赛,S1联赛第13轮,2024.10.26,原神·枫丹,1,5,原神·蒙德,1比5,,DAY7,-4,6
S1联赛,S1联赛第13轮,2024.10.26,崩坏3：天命,1,4,原神·须弥,1比4,,DAY7,-3,5
S1联赛,S1联赛第13轮,2024.10.26,原神·璃月,3,1,原神·稻妻,3比1,,DAY7,2,4
S1联赛,S1联赛第14轮,2024.10.26,星穹铁道,1,1,原神·璃月,1比1,,DAY7,0,2
S1联赛,S1联赛第14轮,2024.10.26,绝区零·艾城,2,1,原神·枫丹,2比1,,DAY7,1,3
S1联赛,S1联赛第14轮,2024.10.26,原神·蒙德,3,2,崩坏3：天命,3比2,,冠军庆典,1,5
S1联赛,S1联赛第14轮,2024.10.26,原神·须弥,3,5,原神·稻妻,3比5,,过渡阶段,-2,8
S2联赛,S2联赛第1轮,2024.11.01,仙舟联盟,1,3,绝区零,1比3,,DAY1,-2,4
S2联赛,S2联赛第1轮,2024.11.01,原神·须弥,2,4,原神·稻妻,2比4,,DAY1,-2,6
S2联赛,S2联赛第1轮,2024.11.01,原神·璃月,5,2,少女前线2,5比2,,DAY1,3,7
S2联赛,S2联赛第1轮,2024.11.01,原神·蒙德,4,2,崩坏3：天命,4比2,,DAY1,2,6
S2联赛,S2联赛第1轮,2024.11.01,原神·枫丹,6,4,匹诺康尼联队,6比4,,DAY1,2,10
S2联赛,S2联赛第1轮,2024.11.01,幻塔,0,4,贝洛伯格星穹空间站,0比4,,DAY1,-4,4
S2联赛,S2联赛第2轮,2024.11.02,原神·稻妻,1,2,仙舟联盟,1比2,,DAY2,-1,3
S2联赛,S2联赛第2轮,2024.11.02,绝区零,6,5,幻塔,6比5,,DAY2,1,11
S2联赛,S2联赛第2轮,2024.11.02,少女前线2,2,4,原神·须弥,2比4,,DAY2,-2,6
S2联赛,S2联赛第2轮,2024.11.02,崩坏3：天命,1,1,原神·璃月,1比1,,DAY2,0,2
S2联赛,S2联赛第2轮,2024.11.02,匹诺康尼联队,1,1,原神·蒙德,1比1,,DAY2,0,2
S2联赛,S2联赛第2轮,2024.11.02,贝洛伯格星穹空间站,6,1,原神·枫丹,6比1,,DAY2,5,7
S2联赛,S2联赛第3轮,2024.11.03,仙舟联盟,6,2,少女前线2,6比2,,DAY3,4,8
S2联赛,S2联赛第3轮,2024.11.03,绝区零,3,2,原神·稻妻,3比2,,DAY3,1,5
S2联赛,S2联赛第3轮,2024.11.03,原神·须弥,2,3,崩坏3：天命,2比3,,DAY3,-1,5
S2联赛,S2联赛第3轮,2024.11.03,原神·璃月,2,4,匹诺康尼联队,2比4,,DAY3,-2,6
S2联赛,S2联赛第3轮,2024.11.03,原神·蒙德,2,4,贝洛伯格星穹空间站,2比4,,DAY3,-2,6
S2联赛,S2联赛第3轮,2024.11.03,幻塔,3,4,原神·枫丹,3比4,,DAY3,-1,7
S2联赛,S2联赛第4轮,2024.11.04,崩坏3：天命,3,3,仙舟联盟,3比3,,DAY4,0,6
S2联赛,S2联赛第4轮,2024.11.04,少女前线2,3,9,绝区零,3比9,,DAY4,-6,12
